channel,acquireIndividualId,acquireInfectionIds,acquireTime,concurrentInfectionIds,node_id,transmitGametocyteDensities,transmitIndividualId,transmitInfectionIds,transmitTime,vectorId
group,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941
sim_id,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941,1b2eae64-8120-ec11-9ecd-9440c9bee941
0,0,[],9125,[],340461476,[0.6840558052063],1066,[311720],9125,9644304
1,0,[],9125,[],340461476,"[1.013051986694, 157.7180480957]",1045,"[311662, 312107]",9125,9641065
2,0,[],9125,[],340461476,"[0.02544847503304, 0.5380592942238, 135.5097198486]",1113,"[310710, 311098, 312152]",9125,9606385
3,0,[],9125,[],340461476,[12.5159702301],209,[312053],9125,9625248
4,0,[],9125,[],340461476,"[0.05294736474752, 579.776550293]",1148,"[310731, 311873]",9125,9640973
5,0,[],9125,[],340461476,[141.1438140869],1163,[311761],9125,9631325
6,0,[],9125,[],340461476,"[17.56692695618, 108.156578064, 320.7047424316]",1090,"[311489, 311817, 311867]",9125,9647250
7,0,[],9125,[],340461476,[693.3383178711],1212,[312161],9125,9621840
8,0,[],9125,[],340461476,"[0.8669345378876, 258.5356445312]",1091,"[311204, 312115]",9125,9647173
9,0,[],9125,[],340461476,"[0.05998710915446, 532.3887939453]",1183,"[310883, 312143]",9125,9634493
10,0,[],9125,[],340461476,"[0.02544847503304, 0.5380592942238, 135.5097198486]",1113,"[310710, 311098, 312152]",9125,9640772
11,0,[],9125,[],340461476,[141.1438140869],1163,[311761],9125,9647063
12,0,[],9125,[],340461476,[9.907291412354],1177,[311750],9125,9647058
13,0,[],9125,[],340461476,"[0.08183746784925, 0.01601541601121, 305.6288452148]",1130,"[309804, 311574, 311840]",9125,9650352
